"Label","Type","Event","Primary Topic Tag","Secondary Topic Tag","Repository","Google Doc Id","Url","Title","Abstract"
"A cool hack with XDI graphs, blockstore, link contracts, and cryptographic identifiers","Topic Paper","rwot1","Unclassified",,"https://drive.google.com/open?id=1oOKAD8LXFuRx7UyFTLfs5_0-Q3LRjNcG","1oOKAD8LXFuRx7UyFTLfs5_0-Q3LRjNcG","https://github.com/WebOfTrustInfo/rwot1-sf/blob/master/topics-and-advance-readings/cool-hack-xdi-blockstore-bip32.md","A cool hack with XDI graphs, blockstore, link contracts, and cryptographic identifiers","Recently, we started experimenting with \"cryptographic XDI numbers\", which are XDI identifiers that are constructed directly from a public key. This can eliminate the XDI discovery step as well the need for a-priori relationships or round trips between the XDI peers, and therefore enables immediately secure XDI connections (this is also known as a NIKE technique). The first generation of cryptographic XDI numbers is based on Ed25519 32 bit public keys and uses the cid-1 XDI scheme."
"Advanced Web of Trust Concepts","Topic Paper","rwot1","Unclassified",,"https://drive.google.com/open?id=16-98Cca2FVCmLVABfHJfRih3_xrKj0vY","16-98Cca2FVCmLVABfHJfRih3_xrKj0vY","https://github.com/WebOfTrustInfo/rwot1-sf/blob/master/topics-and-advance-readings/advanced-web-of-trust-concepts.md","Advanced Web of Trust Concepts","There are a number of advanced cryptographic concepts that may be relevant to #RebootingWebOfTrust Trust agility Translucency Minimizing disclosure Selective disclosure Self-validating certificates Store & Forward Perfect Forward Secrecy Unbundling Revocation and Other Services Random Thoughts"
"Attempts at common terminology for Digital Identity systems","Topic Paper","rwot1","Unclassified",,"https://drive.google.com/open?id=1LIlji3zRtq4BwmL6MwRQ1TBmfpx9x-qK","1LIlji3zRtq4BwmL6MwRQ1TBmfpx9x-qK","https://github.com/WebOfTrustInfo/rwot1-sf/blob/master/topics-and-advance-readings/shared_terminology_for_digital_identity_systems.md","Attempts at common terminology for Digital Identity systems","This note is an attempt to come to consensus about common terminology when discussing digital identity systems. Often discussions about digital identity suffers from a lack of precise arguments where the people discussing have different internal definitions of what identity means in the context. Thus there is a lot of conflation of identity vs reputation vs biometric IDs etc. I invite everyone to critizise the terminology used here and suggest better terms where appropriate, or to point out errors or other areas that should be covered. I will try to be general and to not introduce language specific to any particular implementation or technology stack. In the examples I will cover specific implementation stacks such as PGP, Ethereum, Blockstack or a CA-based centralized approach."
"Authorities vs. Peers: Pain Points in Security","Topic Paper","rwot1","Unclassified",,"https://drive.google.com/open?id=1LTIn2CCRNU0BVZ5DVJJRArLDzR6wb9pX","1LTIn2CCRNU0BVZ5DVJJRArLDzR6wb9pX","https://github.com/WebOfTrustInfo/rwot1-sf/blob/master/topics-and-advance-readings/authorities-vs-peers--pain-points-in-security.md","Authorities vs. Peers: Pain Points in Security","The Rebooting Web of Trust Designshop reimagines the models that we use for privacy, security and transparency on the Internet. We wish to move away from the problems created by the centralization of trust on the Internet — though centralized authorities such as Certificate Authorities and DNS Registrars — and instead implement peer-to-peer based systems, as inspired by the classic PGP and the more recent peer-to-peer decentralized tools such as Bitcoin. However, both centralized authority-based services as well as peer-to-peer decentralized security have their own challenges. Identifying these pain points and solving them is one of the main ways that we can successfully create a new Web of Trust"
"Avoiding Confused Deputy Attack Using Capabilities","Topic Paper","rwot1","Unclassified",,"https://drive.google.com/open?id=1_Apx-T8Md_MNHwd8WCxIM2q-9lAE8Km3","1_Apx-T8Md_MNHwd8WCxIM2q-9lAE8Km3","https://github.com/WebOfTrustInfo/rwot1-sf/blob/master/topics-and-advance-readings/AvoidingConfusedDeputyAttackUsingCapabilities.md","Avoiding Confused Deputy Attack Using Capabilities","The Web has been a fertile field for vulnerability research not just because of programmer mistakes, but most significantly because the Web was the first popular platform for multi-party security. Unlike past client-server platforms, Web users interact with servers that link to other servers. When creating a new platform for multi-party interactions on blockchain technology, we should apply the lessons learned about how multi-party security is different from client-server security. The key insight is that it is crucial to be precise about where an exercised permission comes from. A more thorough explanation is offered at:"
"Binding Identity in a Decentralized System","Topic Paper","rwot1","Unclassified",,"https://drive.google.com/open?id=1pRUS0bCI5Xd0__LGIlYjdRnrgzTadE9Z","1pRUS0bCI5Xd0__LGIlYjdRnrgzTadE9Z","https://github.com/WebOfTrustInfo/rwot1-sf/blob/master/topics-and-advance-readings/binding-identity-in-decentralized-system.md","Binding Identity in a Decentralized System","Server authentication and code signing certificates have historically bound a physical identity – typically an organization – to the certificate via an authority (CA). This binding benefits relying parties who don’t have an existing relationship with the organization by making it more difficult to impersonate the organization."
"Blockchain tech opportunities in the Web-of-Trust","Topic Paper","rwot1","Unclassified",,"https://docs.google.com/document/d/1qll6mPQqTWrpxvpDzOTVwcOu9F0YmbktxhQj9v7oA_0/edit","1qll6mPQqTWrpxvpDzOTVwcOu9F0YmbktxhQj9v7oA_0","https://github.com/WebOfTrustInfo/rwot1-sf/blob/master/topics-and-advance-readings/blockchain-opportunities.txt","Blockchain tech opportunities in the Web-of-Trust","Before we ask how \"blockchain\" tech can improve the web-of-trust, lets first look at what they have in common. We\"ll use the example of OpenPGP, the most common web-of-trust technology in use by far, and Bitcoin, the most succesful blockchain technology. Both technologies rely on chains of provable statements. In Bitcoin if Alice pays Bob who pays Charlie who pays David we have a transaction chain:     tx-Alice <- tx-Bob <- tx-Charlie <- tx-David This is not unlike a trust chain of signed keys that might give David some assurance that a message from Alice really is from Alice, where David has signed Charlie\"s key who has signed Bob\"s who has signed Alice\"s.     Alice <- Bob <- Charlie <- David"
"Blockchain-based Trust for Software Components","Topic Paper","rwot1","Unclassified",,"https://drive.google.com/open?id=1sSyxeuWGfYiG9NYCmYHo0UIykXodV5Et","1sSyxeuWGfYiG9NYCmYHo0UIykXodV5Et","https://github.com/WebOfTrustInfo/rwot1-sf/blob/master/topics-and-advance-readings/code-and-file-signing.adoc","Blockchain-based Trust for Software Components","A computing device cannot be secure if an attacker is able to surreptitiously insert malicious code on it. Current solutions for signing and verifying computer software — both source code and binaries — generally rely on the same flawed, hierarchical systems as our network connections do. Blockchain technology allows us to sidestep Zooko’s Triangle [zooko] and provide systems of identification that are decentralized, secure, and human-meaningful. Today’s dominant code signing and verification technologies rely on centralized certificate authorities and/or centralized hardware or operating system vendors. These solutions are typically oriented toward end-user installation of applications and do not address the needs of software developers who increasingly rely on externally developed components in both source and binary form. Open Source Software has moved us in the direction of the Bazaar [catb] and created an incredibly powerful and diverse supply chain, but has brought with it new risks. Language-specific software component repositories such as Maven, NPM, RubyGems, and CocoaPods are not as secure as they should be and yet most developers have no alternative but to assume their component downloads have not been tampered with. In the rare circumstances where developers are validating their downloaded components they’re using homegrown validation tools and often manually verifying hashes. Typically file hashes are stored on the same server as the hashed file to be validated. If the download is compromised, the hash will be too. Developers need a way of sending and receiving decentralized, secure, and human meaningful information that can be used to secure software components and applications."
"Building a web of trust for decentralized e-commerce platforms","Topic Paper","rwot1","Unclassified",,"https://drive.google.com/open?id=1fCLXFzre4C4VTN6buOZpzlETsexDUlOz","1fCLXFzre4C4VTN6buOZpzlETsexDUlOz","https://github.com/WebOfTrustInfo/rwot1-sf/blob/master/topics-and-advance-readings/decentralized_e-commerce.md","Building a web of trust for decentralized e-commerce platforms (e.g. OpenBazaar)","OpenBazaar is a decentralized network for peer-to-peer online commerce. Cryptographic keys establish an identity, digital signatures prove an identity agreed to the contract and a cryptographic hash of the contract acts as a tamper-proof record of the contract. Products are paid for using multi-signature escrow contracts with arbiters digitally signing transfer of funds to the seller or back to the buyer in case of disagreement over the quality or specifications of the goods delivered. The upside of bypassing centralized services such as eBay or Uber is that no third party can charge excessive fees, impose restrictive policies, prohibit Bitcoin payments or present a single point of failure in the storing of users’ personal data. However, the downside is that no organization is responsible for maintaining the integrity of the system and guard against Sybil attacks and fake ratings."
"Dealing with private key loss or compromise in digital identity systems","Topic Paper","rwot1","Unclassified",,"https://drive.google.com/open?id=1Ppn465uZ8Mhri0wYaFUZx65iRZ_c3DU5","1Ppn465uZ8Mhri0wYaFUZx65iRZ_c3DU5","https://github.com/WebOfTrustInfo/rwot1-sf/blob/master/topics-and-advance-readings/dealing_with_key_loss_in_digital_identity.md","Dealing with private key loss or compromise in digital identity systems","If an identity is tied to a single persistent private key, then loss or compromise of the private key will mean total loss of the identity. Since key compromise and/or loss do happen there needs to be a way to recover from this in order to have a persistent digital identity. See here for definitions used."
