"source_id","dir_name","base_name","format_name","dst_table","size","mtime"
1,,"RWOT","google sheets","Conference_Event",,
1,,"RWOT","google sheets","Introduction",,
1,,"RWOT","google sheets","Topics_and_Keywords",,
1,,"RWOT","google sheets","Completed_Paper",,
1,,"RWOT","google sheets","Completed_Paper_Person",,
1,,"RWOT","google sheets","Advance_Reading",,
1,,"RWOT","google sheets","Advance_Reading_Person",,
1,,"RWOT","google sheets","Person",,
1,,"RWOT","google sheets","GitHub",,
1,,"RWOT","google sheets","Organization",,
1,,"RWOT","google sheets","Organization_Person",,
1,,"RWOT","google sheets","Attendance_ignore",,
1,,"RWOT","google sheets","Sponsorship",,
