"Description","Facebook","Github","Image","Label","LinkedIn","Medium","Twitter","Type"
,,,,"Adam Lake",,,,"Person"
,,,,"Adam Powers",,,,"Person"
,,,,"Adin Schmahmann",,,,"Person"
"![Adrian-Gropper](https://s3.amazonaws.com/cloud.kumu.io/accounts/169502/111101/2ca0d80c-4857-46c4-b9d2-b1650dc70766.jpg) Adrian Gropper, MD is CTO of the non-profit Patient Privacy Rights Foundation. I have training as an engineer from MIT and physician from Harvard Medical School. A career medical device entrepreneur, I founded AMICAS as the first Web-based radiology PACS and the first to provide imaging links in electronic health records as well as two other regulated medical diagnostics businesses. I participated in the founding of many healthcare interoperability initiatives including Blue Button, Direct Project, and Health Relationship Trust (HEART) and speaks frequently on privacy engineering in health care. My paper won a prize at ONC’s 2016 Blockchain Health competition. Our current project, HIE of One Trustee, uses public blockchains, standards, and open source software to enable patient-controlled independent health records that can last a lifetime. This reference implementation informs blockchain standards development for identity, credentials, and reputation with groups that include W3C, IEEE, Kantara, OpenID Foundation, and others.",,"https://github.com/agropper","https://s3.amazonaws.com/cloud.kumu.io/accounts/169502/111101/2ca0d80c-4857-46c4-b9d2-b1650dc70766.jpg","Adrian Gropper","https://www.linkedin.com/in/adrian-gropper-6916651/",,"https://twitter.com/agropper","Person"
,,,,"Ajit Tripathi",,,,"Person"
,,,,"Alberto Elias",,,,"Person"
,,,,"Alessandro Voto",,,,"Person"
,,,,"Alex Preukschat",,,,"Person"
,,,,"Alex Puig",,,,"Person"
,,,,"Alicia Carmona",,,,"Person"
,,,,"Amy Guy",,,,"Person"
,,,,"André Cruz",,,,"Person"
,,,,"Andres Junge",,,,"Person"
"![Andrew-Hughes](https://s3.amazonaws.com/cloud.kumu.io/accounts/169502/111101/ae2303a3-6c8a-48a2-84b2-fb8196e92f40.png) Andrew Hughes CISM CISSP has been providing IM/IT consulting for over 25 years with a focus on security, privacy and digital identity operations, strategy and policy. Since 2013 he has worked with international associations and standards bodies as an independent analyst developing standards and related evaluation materials. He is Chair of the Leadership Council of the Kantara Initiative, helping to bring together community practices and develop conformity assessment programs for digital identity and personal information systems. He has been Editor for several standards at OASIS and ITU-T and has launched and Chaired several work groups at IDESG and Kantara. Andrew is an active contributor and member of the Standards Canada delegation to the ISO SC 27 working group on Identity management and Privacy.",,,"https://s3.amazonaws.com/cloud.kumu.io/accounts/169502/111101/ae2303a3-6c8a-48a2-84b2-fb8196e92f40.png","Andrew Hughes","https://www.linkedin.com/in/andrew-hughes-682058a/?originalSubdomain=ca",,"https://twitter.com/idimandrew","Person"
,,,,"Angus Champion de Crespigny",,,,"Person"
,,,,"Anya Petrova",,,,"Person"
"![Art_Brock_headshot](https://s3.amazonaws.com/cloud.kumu.io/accounts/169502/111101/6ccba474-4298-4063-8627-16d736be4a9f.jpg) I build targeted currencies which shape the social dynamics of our emerging post-industrial economy. To that end, I\"ve created more than a hundred designs for multi-currency systems, and my software company has built and deployed dozens of those systems. My current focus is launching Holochain, an alternative to blockchain for running fully P2P distributed applications. Initially, I put my degree in Artificial Intelligence to use at GM, Chrysler & Hughes, but soon realized I was committed to bringing intelligence to social architectures rather than to computers. I started student-run schools and award-winning, employee-run businesses and discovered that the self-managing feedback loops needed to operate these types of organizations were built on particular patterns of incentives and measurement. I began to unlock the social DNA by which groups operate and uncover the critical role of currencies as carriers of that social DNA.",,,,"Arthur Brock",,"https://medium.com/@artbrock","https://twitter.com/artbrock","Person"
,,,,"Bart Suichies",,,,"Person"
,,,,"Bentley Farrington",,,,"Person"
,,,,"Bill Tulloh",,,,"Person"
,,,,"Bob Clint",,,,"Person"
,,,,"Bohdan Andriyiv",,,,"Person"
,,,,"Boyma Fahnbulleh",,,,"Person"
,,,,"Brent Zundel",,,,"Person"
,,,,"Brian Weller",,,,"Person"
,,,,"Bryan Ford",,,,"Person"
,,,,"Bryce Glass",,,,"Person"
,,,,"Carsten Keutmann",,,,"Person"
,,,,"Carsten Stöcker",,,,"Person"
,,,,"Cedric Franz",,,,"Person"
,,,,"Cherie Duncan",,,,"Person"
,,,,"Christian Lundkvist",,,,"Person"
"![christopherallen](https://s3.amazonaws.com/cloud.kumu.io/accounts/169502/111101/22e1c37d-810b-4b4c-8974-a163a55d495c.jpg) Christopher Allen hosts iphonewebdev.com, the largest iPhone web dev community, and is a founder and organizer of the iPhoneDevCamp conference. A longtime technologist, Chris was one of the authors of TLS, the next-generation SSL protocol. Shannon Appelcline is a widely published writer and technologist, who has written everything from game programming articles to comic books. Shannon Appelcline is the Vice President of Skotos Tech. He manages the day-to-day operations of the company, and also directs marketing and business development. He\"s also a writer and game designer with credits in multiple industries. A blog on social software, collaboration, trust, security, privacy, and internet tools by Christopher Allen. Entrepreneur, Advisor & Technologist Principal Architect at Blockstream Internet Cryptography Pioneer Co-author TLS Security Standard Collaborative Tools & Patterns Decentralized Identity",,"https://github.com/ChristopherA","https://s3.amazonaws.com/cloud.kumu.io/accounts/169502/111101/22e1c37d-810b-4b4c-8974-a163a55d495c.jpg","Christopher Allen","https://www.linkedin.com/in/christophera/",,"https://twitter.com/ChristopherA","Person"
,,,,"Christopher Webber",,,,"Person"
,,,,"Claire Rumore",,,,"Person"
,,,,"Daan Sprenkels",,,,"Person"
,,,,"Dan Burnett",,,,"Person"
"![Dangisolfi](https://s3.amazonaws.com/cloud.kumu.io/accounts/169502/111101/f3cd2081-3477-4773-a618-67446b1566a0.jpg) Dan Gisolfi is an innovation agent who thrives on stewarding the incubation of novel business and technology concepts through all phases of the technology adoption lifecycle. Leveraging his technical and business acumen coupled with deep and trusted client relationships, Mr. Gisolfi partakes in all aspects of a nimble end-to-end engagement process to influence others and realize a vision. His enthusiasm, passion and persistence about the maturation of new ideas are key characteristics of a catalyst for disruptive change.  As a high-energy technical leader with diverse engineering, development lab and worldwide field experience, Mr. Gisolfi offers over 15 years of results-oriented technology evangelism that has impacted products, customer strategies and industry standards. He works closely with customers evolving and refining innovations using a tight feedback loop from customer experience to technology, graduating to solution/product. ",,"https://github.com/vinomaster?tab=followers","https://s3.amazonaws.com/cloud.kumu.io/accounts/169502/111101/f3cd2081-3477-4773-a618-67446b1566a0.jpg","Dan Gisolfi","https://www.linkedin.com/in/vinomaster/",,,"Person"
,,,,"Dan Greening",,,,"Person"
,,,,"Dan Pape",,,,"Person"
